_id,Sector,Question,Answer,Question_tokens,Answer_tokens,gpt3.5-turbo_response,gpt-4-turbo_response,gpt3.5-turbo_response_tokens,gpt-4-turbo_response_tokens,SemanticSimilarity GPT3.5 Response,SemanticSimilarity GPT4 Response,Factual Verification GPT3.5 Response,Factual Verification GPT4 Response,LLM Fact Verification GPT3.5 Response,LLM Fact Verification GPT4 Response,BLEU GPT3.5,ROUGE GPT3.5,METEOR GPT3.5,PERPLEXITY GPT3.5,BERTSCORE GPT3.5,BLEU GPT4,ROUGE GPT4,METEOR GPT4,PERPLEXITY GPT4,BERTSCORE GPT4,Composite Score GPT3.5,Composite Score GPT4
67003e2ac6ecad101f473611,Computer Science,what is an algorithm?,an algorithm is a step-by-step procedure or formula for solving a problem or performing a task in computing.,algorithm,algorithm procedure formula solving problem performing task computing,An algorithm is a step-by-step procedure or formula for solving a problem or accomplishing a task.,An algorithm is a set of step-by-step instructions designed to perform a specific task or solve a particular problem.,An algorithm procedure formula solving problem accomplishing task,An algorithm set instructions designed perform specific task solve particular problem,0.92,0.8,0.2,0.2,1.0,1.0,0.65,"{'rouge1': Score(precision=0.9444444444444444, recall=0.85, fmeasure=0.8947368421052632), 'rouge2': Score(precision=0.8823529411764706, recall=0.7894736842105263, fmeasure=0.8333333333333333), 'rougeL': Score(precision=0.9444444444444444, recall=0.85, fmeasure=0.8947368421052632)}",0.79,18.69,0.98,0.06,"{'rouge1': Score(precision=0.6666666666666666, recall=0.7, fmeasure=0.6829268292682926), 'rouge2': Score(precision=0.35, recall=0.3684210526315789, fmeasure=0.358974358974359), 'rougeL': Score(precision=0.5238095238095238, recall=0.55, fmeasure=0.5365853658536585)}",0.49,10.71,0.94,0.96,0.91
67003e2ac6ecad101f473612,Computer Science,what is a programming language?,a programming language is a formal language used to write instructions that a computer can execute.,programming language,programming language formal language used write instructions computer execute,A programming language is a set of instructions and commands that allow a computer to perform specific tasks or operations.,A programming language is a formal language comprising a set of instructions that produce various kinds of output. It is used in computer programming to implement algorithms and manipulate data structures.,A programming language set instructions commands allow computer perform specific tasks operations,A programming language formal language comprising set instructions produce various kinds output It used computer programming implement algorithms manipulate data structures,0.87,0.87,0.22,0.18,1.0,1.0,0.16,"{'rouge1': Score(precision=0.5, recall=0.625, fmeasure=0.5555555555555556), 'rouge2': Score(precision=0.2631578947368421, recall=0.3333333333333333, fmeasure=0.29411764705882354), 'rougeL': Score(precision=0.45, recall=0.5625, fmeasure=0.5)}",0.51,17.35,0.93,0.18,"{'rouge1': Score(precision=0.41935483870967744, recall=0.8125, fmeasure=0.5531914893617021), 'rouge2': Score(precision=0.23333333333333334, recall=0.4666666666666667, fmeasure=0.31111111111111117), 'rougeL': Score(precision=0.3225806451612903, recall=0.625, fmeasure=0.425531914893617)}",0.57,19.62,0.93,0.93,0.93
67003e2ac6ecad101f473613,Computer Science,what is a data structure?,a data structure is a way of organizing and storing data so it can be accessed and modified efficiently.,data structure,data structure way organizing storing data accessed modified efficiently,A data structure is a way of organizing and storing data in a computer so that it can be accessed and used efficiently.,"A data structure is a specific way of organizing and storing data in a computer so that it can be accessed and modified efficiently. Examples include arrays, linked lists, stacks, queues, trees, and graphs. These structures are essential for various computing tasks, such as data management, processing, and algorithm optimization.",A data structure way organizing storing data computer accessed used efficiently,A data structure specific way organizing storing data computer accessed modified efficiently Examples include arrays linked lists stacks queues trees graphs These structures essential various computing tasks data management processing algorithm optimization,0.93,0.83,0.15,0.13,1.0,1.0,0.57,"{'rouge1': Score(precision=0.782608695652174, recall=0.9473684210526315, fmeasure=0.8571428571428571), 'rouge2': Score(precision=0.6363636363636364, recall=0.7777777777777778, fmeasure=0.7000000000000001), 'rougeL': Score(precision=0.782608695652174, recall=0.9473684210526315, fmeasure=0.8571428571428571)}",0.9,12.34,0.98,0.26,"{'rouge1': Score(precision=0.38, recall=1.0, fmeasure=0.5507246376811594), 'rouge2': Score(precision=0.30612244897959184, recall=0.8333333333333334, fmeasure=0.44776119402985076), 'rougeL': Score(precision=0.38, recall=1.0, fmeasure=0.5507246376811594)}",0.75,16.49,0.93,0.97,0.92
67003e2ac6ecad101f473614,Computer Science,what is object-oriented programming?,"object-oriented programming (oop) is a programming paradigm based on the concept of objects, which can contain data and methods.",programming,programming oop programming paradigm based concept objects contain data methods,"Object-oriented programming (OOP) is a programming paradigm based on the concept of ""objects,"" which can contain data in the form of fields (attributes or properties) and code in the form of procedures (methods or functions). OOP allows for the organization of code in a way that models real-world objects and their interactions.","Object-oriented programming (OOP) is a programming paradigm based on the concept of ""objects"", which can contain data, in the form of fields (often known as attributes or properties), and code, in the form of procedures (often known as methods). OOP languages are diverse, but the most common ones include Java, C++, Python, and Ruby. OOP concepts include encapsulation, inheritance, and polymorphism, facilitating code reusability, scalability, and organization.",programming OOP programming paradigm based concept objects contain data form fields attributes properties code form procedures methods functions OOP allows organization code way models objects interactions,programming OOP programming paradigm based concept objects contain data form fields often known attributes properties code form procedures often known methods OOP languages diverse common ones include Java Python Ruby OOP concepts include encapsulation inheritance polymorphism facilitating code reusability scalability organization,0.91,0.88,0.27,0.26,1.0,1.0,0.2,"{'rouge1': Score(precision=0.37037037037037035, recall=1.0, fmeasure=0.5405405405405406), 'rouge2': Score(precision=0.32075471698113206, recall=0.8947368421052632, fmeasure=0.47222222222222215), 'rougeL': Score(precision=0.37037037037037035, recall=1.0, fmeasure=0.5405405405405406)}",0.72,12.23,0.92,0.14,"{'rouge1': Score(precision=0.29411764705882354, recall=1.0, fmeasure=0.45454545454545453), 'rouge2': Score(precision=0.2537313432835821, recall=0.8947368421052632, fmeasure=0.39534883720930236), 'rougeL': Score(precision=0.29411764705882354, recall=1.0, fmeasure=0.45454545454545453)}",0.65,10.33,0.91,0.95,0.93
67003e2ac6ecad101f473615,Computer Science,what is a compiler?,a compiler is a program that translates source code written in a high-level programming language into machine code.,compiler,compiler program translates source code written programming language machine code,A compiler is a software tool that translates high-level programming language code into machine code that can be understood and executed by a computer.,"A compiler is a computer program that translates code written in a high-level programming language into a lower-level language, often machine code, enabling a computer's processor to understand and execute it.",A compiler software tool translates programming language code machine code understood executed computer,A compiler computer program translates code written programming language language often machine code enabling computer processor understand execute,0.92,0.93,0.2,0.18,1.0,1.0,0.09,"{'rouge1': Score(precision=0.6, recall=0.7894736842105263, fmeasure=0.6818181818181819), 'rouge2': Score(precision=0.375, recall=0.5, fmeasure=0.42857142857142855), 'rougeL': Score(precision=0.52, recall=0.6842105263157895, fmeasure=0.5909090909090909)}",0.64,14.2,0.95,0.31,"{'rouge1': Score(precision=0.5294117647058824, recall=0.9473684210526315, fmeasure=0.679245283018868), 'rouge2': Score(precision=0.42424242424242425, recall=0.7777777777777778, fmeasure=0.5490196078431373), 'rougeL': Score(precision=0.5294117647058824, recall=0.9473684210526315, fmeasure=0.679245283018868)}",0.78,15.47,0.95,0.96,0.96
67003e2ac6ecad101f473616,Computer Science,what is a database?,"a database is an organized collection of structured information or data, typically stored electronically in a computer system.",database,database organized collection structured information data typically stored electronically computer system,"A database is a structured collection of data that is stored electronically. It allows for efficient data storage, retrieval, and management.","A database is an organized collection of data, generally stored and accessed electronically from a computer system. It allows users to store, manage, and retrieve information efficiently.",A database structured collection data stored electronically It allows efficient data storage retrieval management,A database organized collection data generally stored accessed electronically computer system It allows users store manage retrieve information efficiently,0.86,0.84,0.35,0.35,1.0,1.0,0.03,"{'rouge1': Score(precision=0.47619047619047616, recall=0.5555555555555556, fmeasure=0.5128205128205129), 'rouge2': Score(precision=0.2, recall=0.23529411764705882, fmeasure=0.2162162162162162), 'rougeL': Score(precision=0.38095238095238093, recall=0.4444444444444444, fmeasure=0.41025641025641024)}",0.38,20.69,0.93,0.24,"{'rouge1': Score(precision=0.5185185185185185, recall=0.7777777777777778, fmeasure=0.6222222222222222), 'rouge2': Score(precision=0.3076923076923077, recall=0.47058823529411764, fmeasure=0.372093023255814), 'rougeL': Score(precision=0.48148148148148145, recall=0.7222222222222222, fmeasure=0.5777777777777777)}",0.71,21.98,0.94,0.93,0.92
67003e2ac6ecad101f473617,Computer Science,what is cloud computing?,"cloud computing is the delivery of computing services over the internet, including storage, processing, and software.",cloud computing,cloud computing delivery computing services internet including storage processing software,"Cloud computing is the delivery of computing services such as servers, storage, databases, networking, software, and analytics over the internet to offer faster innovation, flexible resources, and economies of scale.","Cloud computing is the delivery of computing services—such as servers, storage, databases, networking, software, analytics, and intelligence—over the Internet (""the cloud"") to offer faster innovation, flexible resources, and economies of scale. You typically pay only for cloud services you use, helping lower your operating costs, run your infrastructure more efficiently, and scale as your business needs change.",Cloud computing delivery computing services servers storage databases networking software analytics internet offer faster innovation flexible resources economies scale,Cloud computing delivery computing servers storage databases networking software analytics Internet cloud offer faster innovation flexible resources economies scale You typically pay cloud services use helping lower operating costs run infrastructure efficiently scale business needs change,0.85,0.79,0.26,0.22,1.0,1.0,0.22,"{'rouge1': Score(precision=0.4666666666666667, recall=0.875, fmeasure=0.608695652173913), 'rouge2': Score(precision=0.3103448275862069, recall=0.6, fmeasure=0.4090909090909091), 'rougeL': Score(precision=0.4, recall=0.75, fmeasure=0.5217391304347827)}",0.65,28.84,0.94,0.09,"{'rouge1': Score(precision=0.23728813559322035, recall=0.875, fmeasure=0.37333333333333335), 'rouge2': Score(precision=0.15517241379310345, recall=0.6, fmeasure=0.24657534246575347), 'rougeL': Score(precision=0.2033898305084746, recall=0.75, fmeasure=0.32)}",0.44,28.81,0.91,0.93,0.9
67003e2ac6ecad101f473618,Computer Science,what is machine learning?,machine learning is a subset of artificial intelligence that involves training algorithms to learn patterns from data and make decisions.,machine learning,machine learning subset artificial intelligence involves training algorithms learn patterns data make decisions,Machine learning is a subset of artificial intelligence that allows computers to learn and improve from experience without being explicitly programmed.,"Machine learning is a field of artificial intelligence that uses algorithms to analyze data, learn from it, and make predictions or decisions without being explicitly programmed to perform specific tasks.
",Machine learning subset artificial intelligence allows computers learn improve experience without explicitly programmed,Machine learning field artificial intelligence uses algorithms analyze data learn make predictions decisions without explicitly programmed perform specific tasks,0.89,0.93,0.21,0.2,1.0,1.0,0.38,"{'rouge1': Score(precision=0.6190476190476191, recall=0.65, fmeasure=0.6341463414634146), 'rouge2': Score(precision=0.45, recall=0.47368421052631576, fmeasure=0.46153846153846156), 'rougeL': Score(precision=0.5714285714285714, recall=0.6, fmeasure=0.5853658536585366)}",0.64,26.59,0.94,0.14,"{'rouge1': Score(precision=0.5333333333333333, recall=0.8, fmeasure=0.64), 'rouge2': Score(precision=0.27586206896551724, recall=0.42105263157894735, fmeasure=0.3333333333333333), 'rougeL': Score(precision=0.5, recall=0.75, fmeasure=0.6)}",0.62,17.58,0.94,0.94,0.96
67003e2ac6ecad101f473619,Computer Science,what is a computer network?,a computer network is a group of interconnected computers that share resources and information.,computer network,computer network group interconnected computers share resources information,A computer network is a system where multiple computers are connected to each other to share resources and information.,"A computer network is a set of interconnected computers that can share resources and data among various users and devices within a network, enabling communication and collaboration.",A computer network system multiple computers connected share resources information,A computer network set interconnected computers share resources data among various users devices within network enabling communication collaboration,0.9,0.9,0.32,0.31,1.0,1.0,0.26,"{'rouge1': Score(precision=0.5263157894736842, recall=0.7142857142857143, fmeasure=0.6060606060606061), 'rouge2': Score(precision=0.3888888888888889, recall=0.5384615384615384, fmeasure=0.45161290322580644), 'rougeL': Score(precision=0.5263157894736842, recall=0.7142857142857143, fmeasure=0.6060606060606061)}",0.68,17.25,0.96,0.22,"{'rouge1': Score(precision=0.4444444444444444, recall=0.8571428571428571, fmeasure=0.5853658536585367), 'rouge2': Score(precision=0.34615384615384615, recall=0.6923076923076923, fmeasure=0.46153846153846156), 'rougeL': Score(precision=0.4444444444444444, recall=0.8571428571428571, fmeasure=0.5853658536585367)}",0.74,22.38,0.95,0.95,0.95
67003e2ac6ecad101f47361a,Computer Science,what is an operating system?,"an operating system (os) is software that manages hardware and software resources on a computer, providing services for computer programs.",operating system,operating system os software manages hardware software resources computer providing services computer programs,An operating system is software that manages computer hardware and provides services for computer programs.,"An operating system (OS) is software that manages the hardware and software resources of a computer, providing services for computer programs. It acts as an intermediary between users and the computer hardware, enabling the execution of programs, management of files, and handling of device communication and errors.",An operating system software manages computer hardware provides services computer programs,An operating system OS software manages hardware software resources computer providing services computer programs It acts intermediary users computer hardware enabling execution programs management files handling device communication errors,0.96,0.94,0.72,0.75,1.0,1.0,0.28,"{'rouge1': Score(precision=1.0, recall=0.75, fmeasure=0.8571428571428571), 'rouge2': Score(precision=0.7142857142857143, recall=0.5263157894736842, fmeasure=0.6060606060606061), 'rougeL': Score(precision=0.9333333333333333, recall=0.7, fmeasure=0.8)}",0.69,35.45,0.96,0.23,"{'rouge1': Score(precision=0.40425531914893614, recall=0.95, fmeasure=0.5671641791044776), 'rouge2': Score(precision=0.34782608695652173, recall=0.8421052631578947, fmeasure=0.49230769230769234), 'rougeL': Score(precision=0.40425531914893614, recall=0.95, fmeasure=0.5671641791044776)}",0.81,17.1,0.95,0.98,0.97
