_id,Sector,Question,Answer,gpt3.5-turbo_response,gpt-4-turbo_response,SemanticSimilarity GPT3.5 Response,SemanticSimilarity GPT4 Response,LLM Fact Verification GPT3.5 Response,LLM Fact Verification GPT4 Response,BLEU GPT3.5,ROUGE GPT3.5,METEOR GPT3.5,PERPLEXITY GPT3.5,BERTSCORE GPT3.5,BLEU GPT4,ROUGE GPT4,METEOR GPT4,PERPLEXITY GPT4,BERTSCORE GPT4,Composite Score GPT3.5,Composite Score GPT4
66c89593226a127494e0c01c,Computer Science,what is an algorithm?,an algorithm is a step-by-step procedure or formula for solving a problem or performing a task in computing.,An algorithm is a set of instructions or rules used to solve a problem or perform a specific task.,An algorithm is a set of instructions or steps designed to perform a specific task or solve a particular problem.,0.95,0.93,1.0,1.0,0.09,"{'rouge1': Score(precision=0.631578947368421, recall=0.6, fmeasure=0.6153846153846154), 'rouge2': Score(precision=0.4444444444444444, recall=0.42105263157894735, fmeasure=0.43243243243243246), 'rougeL': Score(precision=0.631578947368421, recall=0.6, fmeasure=0.6153846153846154)}",0.66,17.62,0.94,0.06,"{'rouge1': Score(precision=0.65, recall=0.65, fmeasure=0.65), 'rouge2': Score(precision=0.2631578947368421, recall=0.2631578947368421, fmeasure=0.2631578947368421), 'rougeL': Score(precision=0.45, recall=0.45, fmeasure=0.45)}",0.49,14.77,0.93,0.97,0.96
66c89593226a127494e0c01d,Computer Science,what is a programming language?,a programming language is a formal language used to write instructions that a computer can execute.,A programming language is a set of instructions and rules used to create software and applications.,"A programming language is a formal language comprising a set of instructions used to produce various kinds of output, including software applications, algorithms, and data processing. It enables humans to write code that can be executed by computers.",0.95,0.94,1.0,1.0,0.19,"{'rouge1': Score(precision=0.5, recall=0.5, fmeasure=0.5), 'rouge2': Score(precision=0.3333333333333333, recall=0.3333333333333333, fmeasure=0.3333333333333333), 'rougeL': Score(precision=0.4375, recall=0.4375, fmeasure=0.4375)}",0.33,24.77,0.93,0.16,"{'rouge1': Score(precision=0.42105263157894735, recall=1.0, fmeasure=0.5925925925925926), 'rouge2': Score(precision=0.21621621621621623, recall=0.5333333333333333, fmeasure=0.3076923076923077), 'rougeL': Score(precision=0.34210526315789475, recall=0.8125, fmeasure=0.4814814814814815)}",0.72,19.79,0.94,0.97,0.96
66c89593226a127494e0c01e,Computer Science,what is a data structure?,a data structure is a way of organizing and storing data so it can be accessed and modified efficiently.,A data structure is a way of organizing and storing data so that it can be accessed and manipulated efficiently.,"A data structure is a specialized format for organizing, processing, retrieving, and storing data. It provides a means to manage large amounts of data efficiently for uses such as large databases and internet indexing services. Common examples include arrays, linked lists, trees, graphs, stacks, queues, and hash tables.",0.99,0.89,1.0,1.0,0.7,"{'rouge1': Score(precision=0.9, recall=0.9473684210526315, fmeasure=0.9230769230769231), 'rouge2': Score(precision=0.7894736842105263, recall=0.8333333333333334, fmeasure=0.8108108108108109), 'rougeL': Score(precision=0.9, recall=0.9473684210526315, fmeasure=0.9230769230769231)}",0.94,12.96,0.99,0.06,"{'rouge1': Score(precision=0.2708333333333333, recall=0.6842105263157895, fmeasure=0.38805970149253727), 'rouge2': Score(precision=0.1276595744680851, recall=0.3333333333333333, fmeasure=0.18461538461538457), 'rougeL': Score(precision=0.22916666666666666, recall=0.5789473684210527, fmeasure=0.3283582089552239)}",0.43,21.71,0.9,0.99,0.94
66c89593226a127494e0c01f,Computer Science,what is object-oriented programming?,"object-oriented programming (oop) is a programming paradigm based on the concept of objects, which can contain data and methods.","Object-oriented programming (OOP) is a programming paradigm based on the concept of ""objects"", which can contain data in the form of attributes or fields, and code in the form of procedures or methods. OOP allows for the organization of code into reusable and modular components.","Object-oriented programming (OOP) is a programming paradigm based on the concept of ""objects,"" which can contain data in the form of fields (often known as attributes or properties), and code, in the form of procedures (often known as methods). OOP languages are diverse, but the most common ones include class-based systems, where objects are instances of classes, which typically also determine their type.",0.96,0.93,1.0,1.0,0.24,"{'rouge1': Score(precision=0.43478260869565216, recall=1.0, fmeasure=0.6060606060606061), 'rouge2': Score(precision=0.37777777777777777, recall=0.8947368421052632, fmeasure=0.53125), 'rougeL': Score(precision=0.43478260869565216, recall=1.0, fmeasure=0.6060606060606061)}",0.81,12.51,0.93,0.16,"{'rouge1': Score(precision=0.3076923076923077, recall=1.0, fmeasure=0.47058823529411764), 'rouge2': Score(precision=0.265625, recall=0.8947368421052632, fmeasure=0.40963855421686746), 'rougeL': Score(precision=0.3076923076923077, recall=1.0, fmeasure=0.47058823529411764)}",0.7,15.29,0.91,0.97,0.95
66c89593226a127494e0c020,Computer Science,what is a compiler?,a compiler is a program that translates source code written in a high-level programming language into machine code.,A compiler is a computer program that translates code written in a high-level programming language into machine code that can be understood and executed by a computer.,"A compiler is a computer program that translates code written in a high-level programming language into a lower-level language, such as assembly language or machine code, so that it can be executed by a computer.",0.98,0.97,1.0,1.0,0.4,"{'rouge1': Score(precision=0.6428571428571429, recall=0.9473684210526315, fmeasure=0.7659574468085106), 'rouge2': Score(precision=0.5555555555555556, recall=0.8333333333333334, fmeasure=0.6666666666666667), 'rougeL': Score(precision=0.6428571428571429, recall=0.9473684210526315, fmeasure=0.7659574468085106)}",0.74,10.89,0.97,0.27,"{'rouge1': Score(precision=0.4864864864864865, recall=0.9473684210526315, fmeasure=0.6428571428571428), 'rouge2': Score(precision=0.3888888888888889, recall=0.7777777777777778, fmeasure=0.5185185185185185), 'rougeL': Score(precision=0.4864864864864865, recall=0.9473684210526315, fmeasure=0.6428571428571428)}",0.64,9.73,0.95,0.99,0.98
66c89593226a127494e0c021,Computer Science,what is a database?,"a database is an organized collection of structured information or data, typically stored electronically in a computer system.",A database is a structured collection of data that is stored electronically in a computer system.,"A database is a collection of structured information or data, stored electronically in a computer system. It allows for the efficient retrieval, insertion, and management of data through the use of a database management system (DBMS).",0.98,0.95,1.0,1.0,0.34,"{'rouge1': Score(precision=0.8125, recall=0.7222222222222222, fmeasure=0.7647058823529411), 'rouge2': Score(precision=0.5333333333333333, recall=0.47058823529411764, fmeasure=0.5), 'rougeL': Score(precision=0.75, recall=0.6666666666666666, fmeasure=0.7058823529411765)}",0.67,20.92,0.97,0.28,"{'rouge1': Score(precision=0.4166666666666667, recall=0.8333333333333334, fmeasure=0.5555555555555556), 'rouge2': Score(precision=0.34285714285714286, recall=0.7058823529411765, fmeasure=0.46153846153846156), 'rougeL': Score(precision=0.4166666666666667, recall=0.8333333333333334, fmeasure=0.5555555555555556)}",0.68,13.23,0.94,0.99,0.97
66c89593226a127494e0c022,Computer Science,what is cloud computing?,"cloud computing is the delivery of computing services over the internet, including storage, processing, and software.","Cloud computing refers to the delivery of computing services, such as storage, processing power, and software, over the internet.","Cloud computing is a technology that allows you to access and use computing services—like servers, storage, databases, networking, software, and analytics—over the internet (the cloud), enabling flexible resources, economies of scale, and on-demand availability.",0.98,0.91,1.0,1.0,0.17,"{'rouge1': Score(precision=0.7368421052631579, recall=0.875, fmeasure=0.7999999999999999), 'rouge2': Score(precision=0.5, recall=0.6, fmeasure=0.5454545454545454), 'rougeL': Score(precision=0.5789473684210527, recall=0.6875, fmeasure=0.6285714285714286)}",0.58,17.78,0.97,0.02,"{'rouge1': Score(precision=0.35135135135135137, recall=0.8125, fmeasure=0.49056603773584906), 'rouge2': Score(precision=0.1388888888888889, recall=0.3333333333333333, fmeasure=0.19607843137254902), 'rougeL': Score(precision=0.24324324324324326, recall=0.5625, fmeasure=0.339622641509434)}",0.35,21.8,0.91,0.99,0.95
66c89593226a127494e0c023,Computer Science,what is machine learning?,machine learning is a subset of artificial intelligence that involves training algorithms to learn patterns from data and make decisions.,Machine learning is a subset of artificial intelligence where systems learn from data and improve their performance without being explicitly programmed.,"Machine learning is a branch of artificial intelligence that focuses on the development of algorithms and statistical models that enable computers to perform specific tasks without explicit instructions, instead relying on patterns and inference derived from data.",0.96,0.96,1.0,1.0,0.35,"{'rouge1': Score(precision=0.5714285714285714, recall=0.6, fmeasure=0.5853658536585366), 'rouge2': Score(precision=0.45, recall=0.47368421052631576, fmeasure=0.46153846153846156), 'rougeL': Score(precision=0.5714285714285714, recall=0.6, fmeasure=0.5853658536585366)}",0.59,30.72,0.95,0.1,"{'rouge1': Score(precision=0.3783783783783784, recall=0.7, fmeasure=0.4912280701754387), 'rouge2': Score(precision=0.19444444444444445, recall=0.3684210526315789, fmeasure=0.2545454545454545), 'rougeL': Score(precision=0.35135135135135137, recall=0.65, fmeasure=0.456140350877193)}",0.5,21.25,0.93,0.97,0.97
66c89593226a127494e0c024,Computer Science,what is a computer network?,a computer network is a group of interconnected computers that share resources and information.,A computer network is a system of interconnected computers and devices that can communicate and share resources.,"A computer network is a set of computers connected together for the purpose of sharing resources such as files, printers, and Internet connections. The connections can be made using cables, telephone lines, radio waves, satellites, or infrared light beams.",0.98,0.87,1.0,1.0,0.23,"{'rouge1': Score(precision=0.7058823529411765, recall=0.8571428571428571, fmeasure=0.7741935483870968), 'rouge2': Score(precision=0.4375, recall=0.5384615384615384, fmeasure=0.4827586206896552), 'rougeL': Score(precision=0.6470588235294118, recall=0.7857142857142857, fmeasure=0.7096774193548386)}",0.73,20.72,0.97,0.07,"{'rouge1': Score(precision=0.2564102564102564, recall=0.7142857142857143, fmeasure=0.3773584905660377), 'rouge2': Score(precision=0.13157894736842105, recall=0.38461538461538464, fmeasure=0.196078431372549), 'rougeL': Score(precision=0.2564102564102564, recall=0.7142857142857143, fmeasure=0.3773584905660377)}",0.61,17.3,0.92,0.99,0.93
66c89593226a127494e0c025,Computer Science,what is an operating system?,"an operating system (os) is software that manages hardware and software resources on a computer, providing services for computer programs.",An operating system is a software that manages computer hardware and provides common services for computer programs.,"An operating system (OS) is software that manages a computer's hardware and software resources and provides common services for computer programs. It acts as an intermediary between users and the computer hardware and is responsible for managing tasks such as memory management, disk management, input/output operations, and process management. Examples include Windows, macOS, Linux, and Android.",0.97,0.94,1.0,1.0,0.22,"{'rouge1': Score(precision=0.9411764705882353, recall=0.8, fmeasure=0.8648648648648648), 'rouge2': Score(precision=0.5, recall=0.42105263157894735, fmeasure=0.45714285714285713), 'rougeL': Score(precision=0.8235294117647058, recall=0.7, fmeasure=0.7567567567567567)}",0.7,37.23,0.95,0.13,"{'rouge1': Score(precision=0.3275862068965517, recall=0.95, fmeasure=0.4871794871794871), 'rouge2': Score(precision=0.24561403508771928, recall=0.7368421052631579, fmeasure=0.3684210526315789), 'rougeL': Score(precision=0.29310344827586204, recall=0.85, fmeasure=0.4358974358974359)}",0.62,11.95,0.93,0.98,0.96
